api_domain,api_count,table_count,sample_apis,sample_tables
stats,8,20,api/stats/StatsHelper.php; api/stats/boundary_debug.php; api/stats/flight_phase_history.php; api/stats/generate_cache.php; api/stats/load_network_stats.php; api/stats/network_analysis.php; api/stats/snapshot_debug.php; api/stats/status.php,dbo.adl_boundary; dbo.adl_boundary_grid; dbo.adl_flight_boundary_log; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_times; dbo.adl_flight_tmi; dbo.flight_phase_snapshot; dbo.flight_stats_airport; dbo.flight_stats_artcc; dbo.flight_stats_citypair; dbo.flight_stats_daily; dbo.flight_stats_hourly; dbo.flight_stats_tmi
analysis,4,9,api/analysis/escape_desert_archive.php; api/analysis/get_plan_ids.php; api/analysis/perti_events.php; api/analysis/tmi_compliance.php,adl_flight_core; dbo.adl_flight_archive; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_trajectory_compressed; dbo.nav_fixes; p_configs; p_plans
user,4,4,api/user/configs/update.php; api/user/dcc/update.php; api/user/enroute_staffing/update.php; api/user/term_staffing/update.php,p_configs; p_dcc_staffing; p_enroute_staffing; p_terminal_staffing
discord,3,2,api/discord/announcements.php; api/discord/channels.php; api/discord/messages.php,dbo.discord_channels; dbo.discord_sent_messages
routes,3,1,api/routes/public.php; api/routes/public_delete.php; api/routes/public_update.php,dbo.public_routes
simulator,3,9,api/simulator/navdata.php; api/simulator/routes.php; api/simulator/traffic.php,dbo.adl_flight_core; dbo.adl_flight_plan; dbo.coded_departure_routes; dbo.nav_playbook; dbo.public_routes; dbo.sim_ref_airport_demand; dbo.sim_ref_carrier_lookup; dbo.sim_ref_route_patterns; nav_fixes
statsim,3,5,api/statsim/fetch.php; api/statsim/plan_info.php; api/statsim/save_rates.php,dbo.apts; dbo.r_airport_totals; dbo.r_hourly_rates; p_plans; p_terminal_init
admin,2,1,api/admin/check_dtu_usage.php; api/admin/cleanup_stale_flights.php,dbo.swim_flights
event-aar,2,3,api/event-aar/list.php; api/event-aar/update.php,dbo.vatusa_event; dbo.vatusa_event_airport; dbo.vatusa_event_hourly
events,2,1,api/events/list.php; api/events/sync.php,dbo.perti_events
jatoc,2,2,api/jatoc/auth.php; api/jatoc/space_ops.php,dbo.jatoc_user_roles; p_enroute_init_timeline
weather,2,5,api/weather/alerts.php; api/weather/impact.php,dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_weather_impact; dbo.weather_alerts
scheduler.php,1,1,api/scheduler.php,splits_configs
session,1,1,api/session/switch_org.php,organizations
tiers.php,1,6,api/tiers.php,dbo.artcc_facilities; dbo.artcc_tier_group_members; dbo.artcc_tier_groups; dbo.artcc_tier_types; dbo.facility_tier_config_members; dbo.facility_tier_configs
util,1,1,api/util/icao_lookup.php,dbo.apts
